"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 09 09:38:16 CST 2021","Fri Jul 09 09:38:16 CST 2021","55","TestCases.test_menu","test_menu","TestMenu","","","test_menu",""
"passed","Fri Jul 09 09:38:16 CST 2021","Fri Jul 09 09:38:16 CST 2021","226","TestCases.test_login","test_login","TestLogin","","","不输入用户名","请求body==>> {'username': None, 'password': '7G8EqAsTPjxcn4Mmn7LSpQ==', 'grant_type': 'password'}"
"passed","Fri Jul 09 09:38:15 CST 2021","Fri Jul 09 09:38:15 CST 2021","185","TestCases.test_login","test_login","TestLogin","","","正常登录","请求body==>> {'username': 'admin', 'password': '7G8EqAsTPjxcn4Mmn7LSpQ==', 'grant_type': 'password'}"
"passed","Fri Jul 09 09:38:16 CST 2021","Fri Jul 09 09:38:16 CST 2021","75","TestCases.test_login","test_login","TestLogin","","","不输入密码","请求body==>> {'username': 'admin', 'password': None, 'grant_type': 'password'}"
"passed","Fri Jul 09 09:38:17 CST 2021","Fri Jul 09 09:38:17 CST 2021","155","TestCases.test_upload","test_upload","TestUpload","","","正常上传文件","请求body==>> {'file': 'open(r""E:\\cqc\\apache-jmeter-5.1.1\\csv\\advanced.docx"",\'rb\')'}"
"passed","Fri Jul 09 09:38:15 CST 2021","Fri Jul 09 09:38:15 CST 2021","38","TestCases.test_device","test_insert_device","TestInsertDevice","","","不输入设备编码","请求body==>> {'deviceCode': ' ', 'deviceName': '测试数据', 'deviceTypes': ['03', '0301', '0301001'], 'functionalCode': '0101001', 'largeType': '03', 'lineCode': '01', 'lineStationRoom': ['01', '001', '00101'], 'midType': '0301', 'locationCode': '0100100101005', 'protectionFlag': '0', 'roomCode': '00101', 'smallTypeCode': '0301001', 'stationCode': '001', 'status': '0'}"
"passed","Fri Jul 09 09:38:17 CST 2021","Fri Jul 09 09:38:17 CST 2021","93","TestCases.test_point","test_02_insert_point","TestInsertPoint","","","新增重复数据","请求body==>> {'code': None, 'deviceCode': 30022201001030301030100100003, 'enableStatus': 0, 'id': None, 'infoCode': None, 'lineCode': '01', 'partCode': None, 'pcode': None, 'pointCode': 4732028992712414856706, 'pointName': '测试数据', 'pointType': 1, 'roomCode': '00101', 'stationCode': '001', 'useTo': 0}"
"passed","Fri Jul 09 09:38:16 CST 2021","Fri Jul 09 09:38:16 CST 2021","78","TestCases.test_point","test_01_search_point","TestPoint","","","查询房间数据","请求body==>> {'size': '10000000', 'current': '1', 'lineCode': '01', 'stationCode': '001', 'roomCode': '00101'}"
"passed","Fri Jul 09 09:38:15 CST 2021","Fri Jul 09 09:38:15 CST 2021","220","TestCases.test_device","test_insert_device","TestInsertDevice","","","正常新增","请求body==>> {'deviceCode': '3422011', 'deviceName': '测试数据', 'deviceTypes': ['03', '0301', '0301001'], 'functionalCode': '0101001', 'largeType': '03', 'lineCode': '01', 'lineStationRoom': ['01', '001', '00101'], 'midType': '0301', 'locationCode': '0100100101005', 'protectionFlag': '0', 'roomCode': '00101', 'smallTypeCode': '0301001', 'stationCode': '001', 'status': '0'}"
"passed","Fri Jul 09 09:38:16 CST 2021","Fri Jul 09 09:38:17 CST 2021","125","TestCases.test_point","test_02_insert_point","TestInsertPoint","","","正常新增数据","请求body==>> {'code': None, 'deviceCode': 30022201001030301030100100003, 'enableStatus': 0, 'id': 46, 'infoCode': None, 'lineCode': '01', 'partCode': None, 'pcode': None, 'pointCode': 4732028992712414856706, 'pointName': '测试数据', 'pointType': 1, 'roomCode': '00101', 'stationCode': '001', 'useTo': 0}"
"passed","Fri Jul 09 09:38:17 CST 2021","Fri Jul 09 09:38:17 CST 2021","76","TestCases.test_point","test_03_delete_point","TestDeletePoint","","","删除点位成功",""
"passed","Fri Jul 09 09:38:17 CST 2021","Fri Jul 09 09:38:17 CST 2021","148","TestCases.test_upload","test_upload","TestUpload","","","正常上传图片","请求body==>> {'file': 'open(r""E:\\cqc\\apache-jmeter-5.1.1\\csv\\123.png"",\'rb\')'}"
